City,Suburb,"Sales
1Q 2014","Median
1Q 2014","Sales
1Q 2015","Median
1Q 2015","Median
Change"
MOUNT BARKER        ,BRIDGEWATER          ,16,391000,12,405500,0.0371
MOUNT BARKER        ,BRUKUNGA             ,,,2,204500,
MOUNT BARKER        ,BUGLE RANGES         ,,,,,
MOUNT BARKER        ,BULL CREEK           ,,,,,
MOUNT BARKER        ,CALLINGTON           ,,,2,173000,
MOUNT BARKER        ,CHAPEL HILL          ,,,,,
MOUNT BARKER        ,DAWESLEY             ,2,375000,,,
MOUNT BARKER        ,DORSET VALE          ,,,,,
MOUNT BARKER        ,ECHUNGA              ,2,400000,5,400000,0
MOUNT BARKER        ,FLAXLEY              ,,,,,
MOUNT BARKER        ,GREEN HILLS RANGE    ,,,,,
MOUNT BARKER        ,HAHNDORF             ,10,492500,6,590000,0.198
MOUNT BARKER        ,HARROGATE            ,1,335000,,,
MOUNT BARKER        ,HAY VALLEY           ,,,,,
MOUNT BARKER        ,JUPITER CREEK        ,,,,,
MOUNT BARKER        ,KANGARILLA           ,,,4,405500,
MOUNT BARKER        ,KANMANTOO            ,1,215000,4,338500,0.5744
MOUNT BARKER        ,KUITPO               ,,,,,
MOUNT BARKER        ,LITTLEHAMPTON        ,17,400000,19,452500,0.1313
MOUNT BARKER        ,MACCLESFIELD         ,6,371000,4,582000,0.5687
MOUNT BARKER        ,MEADOWS              ,9,310000,4,261250,-0.1573
MOUNT BARKER        ,MOUNT BARKER         ,47,405000,49,374000,-0.0765
MOUNT BARKER        ,MOUNT BARKER JUNCTION,,,,,
MOUNT BARKER        ,MOUNT BARKER SPRINGS ,,,,,
MOUNT BARKER        ,MOUNT BARKER SUMMIT  ,,,,,
MOUNT BARKER        ,MOUNT TORRENS        ,5,282500,,,
MOUNT BARKER        ,MYLOR                ,,,1,390000,
MOUNT BARKER        ,NAIRNE               ,22,337500,21,367000,0.0874
MOUNT BARKER        ,OAKBANK              ,3,412000,,,
MOUNT BARKER        ,PAECHTOWN            ,,,,,
MOUNT BARKER        ,PARIS CREEK          ,,,,,
MOUNT BARKER        ,PETWOOD              ,,,,,
MOUNT BARKER        ,PROSPECT HILL        ,,,,,
MOUNT BARKER        ,SAINT IVES           ,,,,,
MOUNT BARKER        ,TOTNESS              ,,,,,
MOUNT BARKER        ,VERDUN               ,1,340000,1,417500,0.2279
MOUNT BARKER        ,WISTOW               ,,,,,
MOUNT BARKER        ,WOODSIDE             ,6,391291,6,313750,-0.1982
NORWD PAYNM ST PET  ,COLLEGE PARK         ,,,3,1500000,
NORWD PAYNM ST PET  ,EVANDALE             ,6,606250,6,727500,0.2
NORWD PAYNM ST PET  ,FELIXSTOW            ,9,520000,5,535000,0.0288
NORWD PAYNM ST PET  ,FIRLE                ,4,580000,4,515000,-0.1121
NORWD PAYNM ST PET  ,GLYNDE               ,7,515000,6,515500,0.001
NORWD PAYNM ST PET  ,HACKNEY              ,,,1,875000,
NORWD PAYNM ST PET  ,HEATHPOOL            ,,,3,1500000,
NORWD PAYNM ST PET  ,JOSLIN               ,2,950000,1,775000,-0.1842
NORWD PAYNM ST PET  ,KENSINGTON           ,4,1200000,3,755000,-0.3708
NORWD PAYNM ST PET  ,KENT TOWN            ,1,635000,,,
NORWD PAYNM ST PET  ,MARDEN               ,6,641000,12,411000,-0.3588
NORWD PAYNM ST PET  ,MARRYATVILLE         ,1,965000,3,781000,-0.1907
NORWD PAYNM ST PET  ,MAYLANDS             ,7,915000,5,1250000,0.3661
NORWD PAYNM ST PET  ,NORWOOD              ,14,875000,13,900000,0.0286
NORWD PAYNM ST PET  ,PAYNEHAM             ,6,572500,4,556500,-0.0279
NORWD PAYNM ST PET  ,PAYNEHAM SOUTH       ,4,530500,2,581250,0.0957
NORWD PAYNM ST PET  ,ROYSTON PARK         ,3,890500,7,780000,-0.1241
NORWD PAYNM ST PET  ,ST.MORRIS            ,6,591250,,,
NORWD PAYNM ST PET  ,ST.PETERS            ,15,830000,9,1130000,0.3614
NORWD PAYNM ST PET  ,STEPNEY              ,3,565000,2,655000,0.1593
NORWD PAYNM ST PET  ,TRINITY GARDENS      ,2,809000,5,590000,-0.2707
ONKAPARINGA         ,ABERFOYLE PARK       ,51,423750,47,361250,-0.1475
ONKAPARINGA         ,ALDINGA              ,1,315000,,,
ONKAPARINGA         ,ALDINGA BEACH        ,71,318500,63,333000,0.0455
ONKAPARINGA         ,BLEWITT SPRINGS      ,,,,,
ONKAPARINGA         ,CHANDLERS HILL       ,1,549000,1,552000,0.0055
ONKAPARINGA         ,CHERRY GARDENS       ,,,,,
ONKAPARINGA         ,CHRISTIE DOWNS       ,22,250500,18,239000,-0.0459
ONKAPARINGA         ,CHRISTIES BEACH      ,25,335000,23,305000,-0.0896
ONKAPARINGA         ,CLARENDON            ,,,,,
ONKAPARINGA         ,COROMANDEL EAST      ,,,,,
ONKAPARINGA         ,COROMANDEL VALLEY    ,13,518500,20,467500,-0.0984
ONKAPARINGA         ,DARLINGTON           ,3,395000,6,477500,0.2089
ONKAPARINGA         ,DORSET VALE          ,,,,,
ONKAPARINGA         ,FLAGSTAFF HILL       ,48,523000,41,435000,-0.1683
ONKAPARINGA         ,HACKHAM              ,20,255000,14,250000,-0.0196
ONKAPARINGA         ,HACKHAM WEST         ,11,231000,13,263000,0.1385
ONKAPARINGA         ,HAPPY VALLEY         ,46,360000,41,350000,-0.0278
ONKAPARINGA         ,HUNTFIELD HEIGHTS    ,23,277350,7,236000,-0.1491
ONKAPARINGA         ,IRONBANK             ,1,380000,,,
ONKAPARINGA         ,KANGARILLA           ,,,4,405500,
ONKAPARINGA         ,KUITPO               ,,,,,
ONKAPARINGA         ,LONSDALE             ,,,,,
ONKAPARINGA         ,MASLIN BEACH         ,11,325500,5,424707,0.3048
ONKAPARINGA         ,MCLAREN FLAT         ,3,419000,7,485000,0.1575
ONKAPARINGA         ,MCLAREN VALE         ,12,466000,11,465000,-0.0021
ONKAPARINGA         ,MOANA                ,12,378750,12,390750,0.0317
ONKAPARINGA         ,MORPHETT VALE        ,69,289500,77,290000,0.0017
ONKAPARINGA         ,MYLOR                ,,,1,390000,
ONKAPARINGA         ,NOARLUNGA CENTRE     ,,,,,
ONKAPARINGA         ,NOARLUNGA DOWNS      ,24,320000,10,325000,0.0156
ONKAPARINGA         ,O'HALLORAN HILL      ,12,350000,11,352300,0.0066
ONKAPARINGA         ,OLD NOARLUNGA        ,6,312500,7,582500,0.864
ONKAPARINGA         ,OLD REYNELLA         ,15,348000,7,340000,-0.023
ONKAPARINGA         ,ONKAPARINGA HILLS    ,3,400000,2,496000,0.24
ONKAPARINGA         ,O'SULLIVAN BEACH     ,4,252500,9,270000,0.0693
ONKAPARINGA         ,PORT NOARLUNGA       ,12,430000,16,376000,-0.1256
ONKAPARINGA         ,PORT NOARLUNGA SOUTH ,18,370000,10,450000,0.2162
ONKAPARINGA         ,PORT WILLUNGA        ,8,285250,17,330000,0.1569
ONKAPARINGA         ,REYNELLA             ,23,290000,19,318750,0.0991
ONKAPARINGA         ,REYNELLA EAST        ,3,292625,7,303000,0.0355
ONKAPARINGA         ,SCOTT CREEK          ,1,475000,,,
ONKAPARINGA         ,SEAFORD              ,18,319000,17,326000,0.0219
ONKAPARINGA         ,SEAFORD HEIGHTS      ,,,,,
ONKAPARINGA         ,SEAFORD MEADOWS      ,16,354500,16,380000,0.0719
ONKAPARINGA         ,SEAFORD RISE         ,15,335000,24,406250,0.2127
ONKAPARINGA         ,SELLICKS BEACH       ,15,287500,18,291250,0.013
ONKAPARINGA         ,SELLICKS HILL        ,,,,,
ONKAPARINGA         ,TATACHILLA           ,,,,,
ONKAPARINGA         ,THE RANGE            ,,,,,
